"row_id","period","year","month","series","value"
84,2024-02-01,2024,2,"Quintil 1",26891.3474763313
84,2024-02-01,2024,2,"Quintil 2",35007.6400042708
84,2024-02-01,2024,2,"Quintil 3",41367.8109117917
84,2024-02-01,2024,2,"Quintil 4",47894.3041240628
84,2024-02-01,2024,2,"Quintil 5",73319.1081495421
85,2024-03-01,2024,3,"Nacional",45101.7995746814
85,2024-03-01,2024,3,"Quintil 1",26971.3090846223
85,2024-03-01,2024,3,"Quintil 2",35095.0287532387
85,2024-03-01,2024,3,"Quintil 3",41459.8367862891
85,2024-03-01,2024,3,"Quintil 4",48014.9367825162
85,2024-03-01,2024,3,"Quintil 5",73603.493529221
86,2024-04-01,2024,4,"Nacional",45057.5726890491
86,2024-04-01,2024,4,"Quintil 1",26923.2700537163
86,2024-04-01,2024,4,"Quintil 2",35048.3111564432
86,2024-04-01,2024,4,"Quintil 3",41407.2828734049
86,2024-04-01,2024,4,"Quintil 4",47992.8523083667
86,2024-04-01,2024,4,"Quintil 5",73514.5380191986
87,2024-05-01,2024,5,"Nacional",45040.2003683727
87,2024-05-01,2024,5,"Quintil 1",26893.0232564792
87,2024-05-01,2024,5,"Quintil 2",35006.3927556041
87,2024-05-01,2024,5,"Quintil 3",41363.2887557968
87,2024-05-01,2024,5,"Quintil 4",47982.2260459763
87,2024-05-01,2024,5,"Quintil 5",73575.4988810237
88,2024-06-01,2024,6,"Nacional",45255.7445181905
88,2024-06-01,2024,6,"Quintil 1",27044.029667583
88,2024-06-01,2024,6,"Quintil 2",35189.6027390905
88,2024-06-01,2024,6,"Quintil 3",41562.3282218035
88,2024-06-01,2024,6,"Quintil 4",48183.6712408293
88,2024-06-01,2024,6,"Quintil 5",73894.2709215962
89,2024-07-01,2024,7,"Nacional",45494.6404636222
89,2024-07-01,2024,7,"Quintil 1",27244.316428221
89,2024-07-01,2024,7,"Quintil 2",35417.5238758651
89,2024-07-01,2024,7,"Quintil 3",41815.2136452643
89,2024-07-01,2024,7,"Quintil 4",48413.667425379
89,2024-07-01,2024,7,"Quintil 5",74124.6793051737
90,2024-08-01,2024,8,"Nacional",45678.2704927677
90,2024-08-01,2024,8,"Quintil 1",27329.3260655995
90,2024-08-01,2024,8,"Quintil 2",35547.3190794983
90,2024-08-01,2024,8,"Quintil 3",41968.5470346077
90,2024-08-01,2024,8,"Quintil 4",48601.7257985729
90,2024-08-01,2024,8,"Quintil 5",74391.0723528188
91,2024-09-01,2024,9,"Nacional",45813.8878148707
