PERIODO,CÓD_MES,MES,CÓD_REGIÓN,REGIÓN,CÓD_PROVINCIA,PROVINCIA,CÓD_MUNICIPIO,MUNICIPIO,CÓD_CAPITULO,UNIDAD_EJECUTORA,CÓD_ECO_TITULO,ECO_TITULO,CÓD_ECO_SUB_TITULO,ECO_SUB_TITULO,CÓD_CONCEPTO,CONCEPTO,CÓD_CUENTA,DES_CUENTA,PERCIBIDO
2023,12,Diciembre,02,Región Cibao Sur,28,Monsenor Nouel,0003,Piedra Blanca,7314,Villa Sonador,3.1,Fuentes financieras,3.1.1,Disminución de activos financieros,3.1,Disminución de activos financieros,3.1.1,Disminución de activos financieros corrientes,712239
2023,12,Diciembre,07,Región El Valle,02,Azua,0003,Las Yayas de Viajama,7315,Villarpando,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,682242.53
2023,12,Diciembre,01,Región Cibao Norte,18,Puerto Plata,0001,Puerto Plata,7316,Yasica Arriba,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,578071
2023,12,Diciembre,01,Región Cibao Norte,18,Puerto Plata,0001,Puerto Plata,7316,Yasica Arriba,1.1,Ingresos corrientes,1.1.9,Otros ingresos corrientes,1.6,Otros ingresos,1.6.4,Ingresos diversos,5200
2023,12,Diciembre,09,Región Higuamo,30,Hato Mayor,0001,Hato Mayor,7317,Yerba Buena,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,331508
2023,12,Diciembre,09,Región Higuamo,30,Hato Mayor,0001,Hato Mayor,7317,Yerba Buena,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.9,Impuestos diversos,3520
2023,12,Diciembre,09,Región Higuamo,30,Hato Mayor,0001,Hato Mayor,7317,Yerba Buena,1.2,Ingresos de capital,1.2.1,Venta (disposición) de activos no financieros (a valores brutos),1.7,Venta de activos no financieros,1.7.4,Venta de terrenos,13000
2023,12,Diciembre,01,Región Cibao Norte,25,Santiago,0008,Puñal,7318,Puñal,1.2,Ingresos de capital,1.2.4,Transferencias de capital recibidas,1.4,Transferencias,1.4.2,Transferencias de capital,1344001
2023,12,Diciembre,01,Región Cibao Norte,25,Santiago,0008,Puñal,7318,Puñal,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,6000
2023,12,Diciembre,01,Región Cibao Norte,25,Santiago,0008,Puñal,7318,Puñal,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,600
2023,12,Diciembre,01,Región Cibao Norte,25,Santiago,0008,Puñal,7318,Puñal,1.1,Ingresos corrientes,1.1.3,Ventas de bienes y servicios,1.5,Ingresos por contraprestación,1.5.1,Ventas de bienes y servicios,217778
2023,12,Diciembre,01,Región Cibao Norte,25,Santiago,0008,Puñal,7318,Puñal,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,20000
2023,12,Diciembre,01,Región Cibao Norte,25,Santiago,0008,Puñal,7318,Puñal,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,292461
2023,12,Diciembre,01,Región Cibao Norte,25,Santiago,0008,Puñal,7318,Puñal,1.1,Ingresos corrientes,1.1.1,Impuestos,1.1,Impuestos,1.1.4,Impuestos internos sobre mercancías y servicios,37360
