salario,sfs_empleador,pension_empleador,riesgos_bajo,infotep,salario_neto_sin_isr,costo_directo_bajo,sueldo_13,vacaciones_14_dias,costo_anualizado_bajo
93701.25,6643.418625,6652.78875,1021.8119999999999,937.0125,88163.506125,108956.281875,7808.4375,3643.9375,120408.656875
94201.25,6678.868625,6688.28875,1021.8119999999999,942.0125,88633.95612500001,109532.23187500001,7850.104166666667,3663.3819444444443,121045.71798611112
94701.25,6714.318625000001,6723.78875,1021.8119999999999,947.0125,89104.406125,110108.181875,7891.770833333333,3682.8263888888887,121682.77909722221
95201.25,6749.768625000001,6759.28875,1021.8119999999999,952.0125,89574.85612499999,110684.131875,7933.4375,3702.2708333333335,122319.84020833333
95701.25,6785.218625,6794.78875,1021.8119999999999,957.0125,90045.306125,111260.08187499999,7975.104166666667,3721.715277777778,122956.90131944444
96201.25,6820.668625,6830.28875,1021.8119999999999,962.0125,90515.756125,111836.031875,8016.770833333333,3741.159722222222,123593.96243055555
96701.25,6856.118625,6865.78875,1021.8119999999999,967.0125,90986.20612500001,112411.98187500001,8058.4375,3760.6041666666665,124231.02354166668
97201.25,6891.568625000001,6901.28875,1021.8119999999999,972.0125,91456.656125,112987.931875,8100.104166666667,3780.0486111111113,124868.08465277778
97701.25,6927.018625000001,6936.78875,1021.8119999999999,977.0125,91927.10612499999,113563.881875,8141.770833333333,3799.4930555555557,125505.1457638889
98201.25,6962.468625,6972.28875,1021.8119999999999,982.0125,92397.556125,114139.83187499999,8183.4375,3818.9375,126142.20687499999
98701.25,6997.918625,7007.78875,1021.8119999999999,987.0125,92868.006125,114715.781875,8225.104166666666,3838.3819444444443,126779.26798611111
99201.25,7033.368625,7043.28875,1021.8119999999999,992.0125,93338.45612500001,115291.73187500001,8266.770833333334,3857.8263888888887,127416.32909722223
99701.25,7068.818625000001,7078.78875,1021.8119999999999,997.0125,93808.906125,115867.681875,8308.4375,3877.2708333333335,128053.39020833332
100201.25,7104.268625000001,7114.28875,1021.8119999999999,1002.0125,94279.35612499999,116443.631875,8350.104166666666,3896.715277777778,128690.45131944446
100701.25,7139.718625,7149.78875,1021.8119999999999,1007.0125,94749.806125,117019.58187499999,8391.770833333334,3916.159722222222,129327.51243055554
101201.25,7175.168625,7185.28875,1021.8119999999999,1012.0125,95220.256125,117595.531875,8433.4375,3935.6041666666665,129964.57354166667
101701.25,7210.618625,7220.78875,1021.8119999999999,1017.0125,95690.70612500001,118171.48187500001,8475.104166666666,3955.0486111111113,130601.6346527778
102201.25,7246.068625000001,7256.28875,1021.8119999999999,1022.0125,96161.156125,118747.431875,8516.770833333334,3974.4930555555557,131238.69576388889
102701.25,7281.518625000001,7291.78875,1021.8119999999999,1027.0125,96631.60612499999,119323.381875,8558.4375,3993.9375,131875.75687500002
103201.25,7316.968625,7327.28875,1021.8119999999999,1032.0125,97102.056125,119899.33187499999,8600.104166666666,4013.3819444444443,132512.8179861111
103701.25,7352.418625,7362.78875,1021.8119999999999,1037.0125,97572.506125,120475.281875,8641.770833333334,4032.8263888888887,133149.8790972222
104201.25,7387.868625,7398.28875,1021.8119999999999,1042.0125,98042.95612500001,121051.23187500001,8683.4375,4052.2708333333335,133786.94020833334
